c host: c3n23
c start: Fri Oct 18 20:58:52 CEST 2019
c arrayjobid: 17567257
c jobid: 17567577
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2018A/VexRiscv-regch0-15-p1.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567577.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 7560)
@     0s  (started worker 1 with pid 7561)
@     0s  (started worker 2 with pid 7562)
@     0s  (started worker 3 with pid 7563)
@     0s  (started worker 4 with pid 7564)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 7680)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 235 MB)
@     2s  (started worker 6 with pid 7734)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 384 MB)
@     3s  (started worker 7 with pid 7796)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 439 MB)
@     4s  (started worker 8 with pid 7862)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 556 MB)
@     4s  (worker 8 finished with result unknown) python3 avr.py -l 5 -g 3 -a sa8 --interpol 1 -f 1
@     5s  (started worker 9 with pid 7953)
@     5s  (spawned 1 workers)
@     5s  (total 9 workers using 676 MB)
@     6s  (started worker 10 with pid 8027)
@     6s  (spawned 1 workers)
@     6s  (total 10 workers using 849 MB)
@    15s  (total 10 workers using 1976 MB)
@    26s  (total 10 workers using 3602 MB)
@    30s  (worker 4 finished with result unknown) python3 avr.py -b bin_y2 --bmc
@    38s  (total 9 workers using 2449 MB)
@    49s  (total 9 workers using 2652 MB)
@    60s  (total 9 workers using 2838 MB)
@    71s  (total 9 workers using 3617 MB)
@    81s  (total 9 workers using 4353 MB)
@    92s  (total 9 workers using 5139 MB)
@   103s  (total 9 workers using 5480 MB)
@   114s  (total 9 workers using 6425 MB)
@   125s  (total 9 workers using 6741 MB)
@   136s  (total 9 workers using 6805 MB)
@   146s  (total 9 workers using 7503 MB)
@   157s  (total 9 workers using 7680 MB)
@   168s  (total 9 workers using 8104 MB)
@   179s  (total 9 workers using 8357 MB)
@   190s  (total 9 workers using 8846 MB)
@   201s  (total 9 workers using 8954 MB)
@   212s  (total 9 workers using 9656 MB)
@   222s  (total 9 workers using 9814 MB)
@   233s  (total 9 workers using 10581 MB)
@   244s  (total 9 workers using 10831 MB)
