c host: c3n02
c start: Fri Oct 18 19:40:31 CEST 2019
c arrayjobid: 17567256
c jobid: 17567385
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/mann/data-integrity/unsafe/shift_register_top_w64_d128_e0.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567385.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 1396)
@     0s  (started worker 1 with pid 1397)
@     0s  (started worker 2 with pid 1398)
@     0s  (started worker 3 with pid 1399)
@     0s  (started worker 4 with pid 1400)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 1518)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 322 MB)
@     2s  (started worker 6 with pid 1576)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 488 MB)
@     3s  (started worker 7 with pid 1636)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 661 MB)
@     4s  (started worker 8 with pid 1707)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 756 MB)
@     5s  (started worker 9 with pid 1799)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 956 MB)
@     6s  (started worker 10 with pid 1880)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 1194 MB)
@    15s  (total 11 workers using 1800 MB)
@    27s  (total 11 workers using 2169 MB)
@    38s  (total 11 workers using 2383 MB)
@    50s  (total 11 workers using 2588 MB)
@    61s  (total 11 workers using 2778 MB)
@    72s  (total 11 workers using 3061 MB)
@    83s  (total 11 workers using 3291 MB)
@    95s  (total 11 workers using 3543 MB)
@   105s  (total 11 workers using 3612 MB)
@   117s  (total 11 workers using 3753 MB)
@   128s  (total 11 workers using 3870 MB)
@   139s  (total 11 workers using 3982 MB)
@   150s  (total 11 workers using 4298 MB)
@   161s  (total 11 workers using 4384 MB)
@   172s  (total 11 workers using 4488 MB)
@   183s  (total 11 workers using 4633 MB)
@   194s  (total 11 workers using 4968 MB)
@   205s  (total 11 workers using 5029 MB)
@   216s  (total 11 workers using 5070 MB)
@   227s  (total 11 workers using 5203 MB)
@   238s  (total 11 workers using 5442 MB)
@   249s  (total 11 workers using 5612 MB)
@   260s  (total 11 workers using 5700 MB)
@   271s  (total 11 workers using 5819 MB)
@   282s  (total 11 workers using 6027 MB)
@   294s  (total 11 workers using 6074 MB)
