c host: c3n18
c start: Fri Oct 18 18:42:44 CEST 2019
c arrayjobid: 17567256
c jobid: 17567353
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/mann/data-integrity/unsafe/arbitrated_top_n2_w128_d64_e0.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567353.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 7096)
@     0s  (started worker 1 with pid 7097)
@     0s  (started worker 2 with pid 7098)
@     0s  (started worker 3 with pid 7099)
@     0s  (started worker 4 with pid 7100)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 7216)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 318 MB)
@     2s  (started worker 6 with pid 7270)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 485 MB)
@     3s  (started worker 7 with pid 7330)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 587 MB)
@     4s  (started worker 8 with pid 7396)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 747 MB)
@     5s  (started worker 9 with pid 7488)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1018 MB)
@     7s  (started worker 10 with pid 7568)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1356 MB)
@    15s  (total 11 workers using 2226 MB)
@    27s  (total 11 workers using 2595 MB)
@    39s  (total 11 workers using 2764 MB)
@    50s  (total 11 workers using 2886 MB)
@    61s  (total 11 workers using 2914 MB)
@    73s  (total 11 workers using 3024 MB)
@    83s  (total 11 workers using 3181 MB)
@    95s  (total 11 workers using 3208 MB)
@   106s  (total 11 workers using 3373 MB)
@   117s  (total 11 workers using 3580 MB)
@   128s  (total 11 workers using 3465 MB)
@   139s  (total 11 workers using 3521 MB)
@   150s  (total 11 workers using 3572 MB)
@   161s  (total 11 workers using 3584 MB)
@   172s  (total 11 workers using 3614 MB)
@   183s  (total 11 workers using 3823 MB)
@   194s  (total 11 workers using 3793 MB)
@   205s  (total 11 workers using 3825 MB)
@   216s  (total 11 workers using 3931 MB)
@   227s  (total 11 workers using 4026 MB)
@   238s  (total 11 workers using 4086 MB)
@   250s  (total 11 workers using 4094 MB)
@   260s  (total 11 workers using 4108 MB)
@   272s  (total 11 workers using 4117 MB)
@   283s  (total 11 workers using 4237 MB)
