c host: c3n17
c start: Fri Oct 18 19:52:01 CEST 2019
c arrayjobid: 17567256
c jobid: 17567447
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019A/picorv32_mutCX_nomem-p8.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567447.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 19730)
@     0s  (started worker 1 with pid 19731)
@     0s  (started worker 2 with pid 19732)
@     0s  (started worker 3 with pid 19733)
@     0s  (started worker 4 with pid 19734)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 19851)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 532 MB)
@     2s  (started worker 6 with pid 19907)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 780 MB)
@     3s  (started worker 7 with pid 19969)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 1001 MB)
@     4s  (started worker 8 with pid 20037)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1206 MB)
@     5s  (started worker 9 with pid 20129)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1360 MB)
@     7s  (started worker 10 with pid 20209)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1516 MB)
@    15s  (total 11 workers using 2294 MB)
@    27s  (total 11 workers using 2468 MB)
@    39s  (total 11 workers using 2546 MB)
@    50s  (total 11 workers using 2613 MB)
@    61s  (total 11 workers using 2742 MB)
@    73s  (total 11 workers using 2800 MB)
@    84s  (total 11 workers using 2793 MB)
@    95s  (total 11 workers using 2837 MB)
@   106s  (total 11 workers using 2898 MB)
@   117s  (total 11 workers using 2927 MB)
@   128s  (total 11 workers using 2951 MB)
@   139s  (total 11 workers using 2975 MB)
@   150s  (total 11 workers using 2991 MB)
@   161s  (total 11 workers using 3012 MB)
@   172s  (total 11 workers using 3030 MB)
@   183s  (total 11 workers using 3081 MB)
@   194s  (total 11 workers using 3094 MB)
@   206s  (total 11 workers using 3186 MB)
@   216s  (total 11 workers using 3196 MB)
@   228s  (total 11 workers using 3275 MB)
@   239s  (total 11 workers using 3333 MB)
@   250s  (total 11 workers using 3341 MB)
@   261s  (total 11 workers using 3332 MB)
@   272s  (total 11 workers using 3392 MB)
@   283s  (total 11 workers using 3489 MB)
@   294s  (total 11 workers using 3539 MB)
