c host: c3n11
c start: Fri Oct 18 19:25:56 CEST 2019
c arrayjobid: 17567256
c jobid: 17567383
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/mann/data-integrity/unsafe/shift_register_top_w8_d128_e0.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567383.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 13545)
@     0s  (started worker 1 with pid 13546)
@     0s  (started worker 2 with pid 13547)
@     0s  (started worker 3 with pid 13548)
@     0s  (started worker 4 with pid 13549)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 13665)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 222 MB)
@     2s  (started worker 6 with pid 13721)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 285 MB)
@     3s  (started worker 7 with pid 13781)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 363 MB)
@     4s  (started worker 8 with pid 13849)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 504 MB)
@     5s  (started worker 9 with pid 13941)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 619 MB)
@     7s  (started worker 10 with pid 14022)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 765 MB)
@    15s  (total 11 workers using 1153 MB)
@    27s  (total 11 workers using 1468 MB)
@    39s  (total 11 workers using 1689 MB)
@    50s  (total 11 workers using 1895 MB)
@    61s  (total 11 workers using 2049 MB)
@    73s  (total 11 workers using 2269 MB)
@    84s  (total 11 workers using 2427 MB)
@    95s  (total 11 workers using 2597 MB)
@   106s  (total 11 workers using 2806 MB)
@   117s  (total 11 workers using 2910 MB)
@   128s  (total 11 workers using 3019 MB)
@   139s  (total 11 workers using 3237 MB)
@   150s  (total 11 workers using 3309 MB)
@   161s  (total 11 workers using 3577 MB)
@   172s  (total 11 workers using 3668 MB)
@   183s  (total 11 workers using 3755 MB)
@   194s  (total 11 workers using 3982 MB)
@   205s  (total 11 workers using 4090 MB)
@   216s  (total 11 workers using 4141 MB)
@   228s  (total 11 workers using 4199 MB)
@   239s  (total 11 workers using 4263 MB)
@   250s  (total 11 workers using 4461 MB)
@   261s  (total 11 workers using 4583 MB)
@   272s  (total 11 workers using 4633 MB)
@   283s  (total 11 workers using 4829 MB)
@   294s  (total 11 workers using 4911 MB)
