c host: c3n07
c start: Fri Oct 18 19:06:01 CEST 2019
c arrayjobid: 17567256
c jobid: 17567378
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/mann/data-integrity/unsafe/circular_pointer_top_w8_d128_e0.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567378.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 27716)
@     0s  (started worker 1 with pid 27717)
@     0s  (started worker 2 with pid 27718)
@     0s  (started worker 3 with pid 27719)
@     0s  (started worker 4 with pid 27720)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 27836)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 211 MB)
@     2s  (started worker 6 with pid 27890)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 297 MB)
@     3s  (started worker 7 with pid 27952)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 361 MB)
@     4s  (started worker 8 with pid 28020)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 434 MB)
@     5s  (started worker 9 with pid 28112)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 510 MB)
@     7s  (started worker 10 with pid 28192)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 606 MB)
@    15s  (total 11 workers using 906 MB)
@    27s  (total 11 workers using 1127 MB)
@    39s  (total 11 workers using 1335 MB)
@    50s  (total 11 workers using 1422 MB)
@    61s  (total 11 workers using 1679 MB)
@    73s  (total 11 workers using 1748 MB)
@    84s  (total 11 workers using 1940 MB)
@    95s  (total 11 workers using 2065 MB)
@   106s  (total 11 workers using 2161 MB)
@   117s  (total 11 workers using 2407 MB)
@   128s  (total 11 workers using 2596 MB)
@   139s  (total 11 workers using 2726 MB)
@   150s  (total 11 workers using 2835 MB)
@   161s  (total 11 workers using 2925 MB)
@   172s  (total 11 workers using 2980 MB)
@   183s  (total 11 workers using 3085 MB)
@   194s  (total 11 workers using 3159 MB)
@   205s  (total 11 workers using 3316 MB)
@   216s  (total 11 workers using 3336 MB)
@   227s  (total 11 workers using 3472 MB)
@   238s  (total 11 workers using 3524 MB)
@   249s  (total 11 workers using 3599 MB)
@   260s  (total 11 workers using 3700 MB)
@   272s  (total 11 workers using 3774 MB)
@   282s  (total 11 workers using 3835 MB)
@   294s  (total 11 workers using 3898 MB)
