c host: c3n22
c start: Fri Oct 18 19:42:26 CEST 2019
c arrayjobid: 17567256
c jobid: 17567405
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2018D/VexRiscv-regch0-20-p1.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567405.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 14570)
@     0s  (started worker 1 with pid 14571)
@     0s  (started worker 2 with pid 14572)
@     0s  (started worker 3 with pid 14573)
@     0s  (started worker 4 with pid 14574)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 14691)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 297 MB)
@     2s  (started worker 6 with pid 14747)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 487 MB)
@     3s  (started worker 7 with pid 14809)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 614 MB)
@     4s  (started worker 8 with pid 14877)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 770 MB)
@     5s  (started worker 9 with pid 14969)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 926 MB)
@     7s  (started worker 10 with pid 15049)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1075 MB)
@    15s  (total 11 workers using 1621 MB)
@    27s  (total 11 workers using 1958 MB)
@    39s  (total 11 workers using 2154 MB)
@    50s  (total 11 workers using 2296 MB)
@    61s  (total 11 workers using 2365 MB)
@    73s  (total 11 workers using 2485 MB)
@    84s  (total 11 workers using 2642 MB)
@    95s  (total 11 workers using 2798 MB)
@   106s  (total 11 workers using 2944 MB)
@   117s  (total 11 workers using 3009 MB)
@   128s  (total 11 workers using 3298 MB)
@   139s  (total 11 workers using 3695 MB)
@   150s  (total 11 workers using 3861 MB)
@   161s  (total 11 workers using 4044 MB)
@   172s  (total 11 workers using 4245 MB)
@   183s  (total 11 workers using 4628 MB)
@   194s  (total 11 workers using 4838 MB)
@   205s  (total 11 workers using 5030 MB)
@   216s  (total 11 workers using 5138 MB)
@   228s  (total 11 workers using 5289 MB)
@   239s  (total 11 workers using 5554 MB)
@   250s  (total 11 workers using 5768 MB)
@   261s  (total 11 workers using 5924 MB)
@   272s  (total 11 workers using 6384 MB)
@   283s  (total 11 workers using 7111 MB)
@   294s  (total 11 workers using 8210 MB)
