c host: c3n30
c start: Fri Oct 18 18:58:12 CEST 2019
c arrayjobid: 17567256
c jobid: 17567376
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/mann/data-integrity/unsafe/circular_pointer_top_w32_d128_e0.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567376.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 25934)
@     0s  (started worker 1 with pid 25935)
@     0s  (started worker 2 with pid 25936)
@     0s  (started worker 3 with pid 25937)
@     0s  (started worker 4 with pid 25938)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 26054)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 217 MB)
@     2s  (started worker 6 with pid 26108)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 375 MB)
@     3s  (started worker 7 with pid 26170)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 475 MB)
@     4s  (started worker 8 with pid 26238)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 599 MB)
@     5s  (started worker 9 with pid 26330)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 694 MB)
@     7s  (started worker 10 with pid 26410)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 831 MB)
@    15s  (total 11 workers using 1172 MB)
@    27s  (total 11 workers using 1338 MB)
@    39s  (total 11 workers using 1493 MB)
@    50s  (total 11 workers using 1593 MB)
@    61s  (total 11 workers using 1703 MB)
@    73s  (total 11 workers using 1876 MB)
@    83s  (total 11 workers using 1958 MB)
@    95s  (total 11 workers using 2134 MB)
@   106s  (total 11 workers using 2254 MB)
@   117s  (total 11 workers using 2364 MB)
@   128s  (total 11 workers using 2516 MB)
@   139s  (total 11 workers using 2674 MB)
@   150s  (total 11 workers using 2764 MB)
@   161s  (total 11 workers using 3001 MB)
@   172s  (total 11 workers using 3129 MB)
@   183s  (total 11 workers using 3290 MB)
@   194s  (total 11 workers using 3388 MB)
@   205s  (total 11 workers using 3459 MB)
@   216s  (total 11 workers using 3600 MB)
@   227s  (total 11 workers using 3789 MB)
@   238s  (total 11 workers using 3876 MB)
@   249s  (total 11 workers using 3976 MB)
@   260s  (total 11 workers using 4021 MB)
@   271s  (total 11 workers using 4060 MB)
@   282s  (total 11 workers using 4127 MB)
@   293s  (total 11 workers using 4158 MB)
